,MetroAreaID,MedianSalesPrice,Area,lat_long,centroid,distance
153,1000,553990.0,Northern Virginia,"(39.095541, -77.534782)","(38.8051, -77.047)",53.17491293639201 km
154,1003,485200.0,Charlottesville,"(0.0, 0.0)","(38.033554, -78.50798)",9005.927584465539 km
155,1003,427300.0,Charlottesville,"(37.9871831, -78.5074706)","(38.033554, -78.50798)",5.147210024907886 km
156,1013,296400.0,Aiken/Augusta,"(33.593076, -81.824541)","(33.5076, -81.8604)",10.04839088810054 km
157,1000,540990.0,Northern Virginia,"(38.959184, -77.332334)","(38.8051, -77.047)",30.092703428745136 km
158,1013,251900.0,Aiken/Augusta,"(33.582816, -81.77637)","(33.5076, -81.8604)",11.423813153281548 km
159,1006,298890.0,Richmond,"(37.540469, -77.567765)","(37.54129, -77.434769)",11.754168364264038 km
160,1007,382512.5,Atlanta,"(34.1673, -84.4314)","(33.748783, -84.388168)",46.5942491334108 km
161,1013,239900.0,Aiken/Augusta,"(33.593076, -81.824541)","(33.5076, -81.8604)",10.04839088810054 km
162,1013,310400.0,Aiken/Augusta,"(33.54691, -81.783014)","(33.5076, -81.8604)",8.407525802689742 km
163,1010,227400.0,Columbia,"(33.98179, -80.881181)","(34.0007, -81.0348)",14.347664510850057 km
164,1008,980900.0,Charleston,"(32.900786, -79.74952)","(32.776566, -79.930923)",21.86828205541061 km
165,1011,392900.0,Charlotte,"(35.026513, -80.667104)","(35.227085, -80.843124)",27.432706025429354 km
166,1007,372400.0,Atlanta,"(34.168071, -84.431162)","(33.748783, -84.388168)",46.6775786104929 km
167,1013,231400.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
168,1013,317400.0,Aiken/Augusta,"(33.678327, -81.966967)","(33.5076, -81.8604)",21.364188759675947 km
169,1010,282900.0,Columbia,"(33.870033, -81.210458)","(34.0007, -81.0348)",21.767385710447932 km
170,1006,487190.0,Richmond,"(37.5132, -77.4161)","(37.54129, -77.434769)",3.5274479560127867 km
171,1006,339715.0,Richmond,"(37.540469, -77.567765)","(37.54129, -77.434769)",11.754168364264038 km
172,1010,244900.0,Columbia,"(34.130959, -80.816611)","(34.0007, -81.0348)",24.788272244756836 km
173,1006,343990.0,Richmond,"(37.6213042, -77.5201677)","(37.54129, -77.434769)",11.6518813346041 km
174,1010,261900.0,Columbia,"(34.004661, -81.239475)","(34.0007, -81.0348)",18.913362959850023 km
175,1012,266900.0,Greenville/Spartanburg,"(34.725073, -82.222818)","(34.8959, -82.2172)",18.95802368359314 km
176,1004,425990.0,Raleigh,"(35.714323, -78.886046)","(35.884766, -78.625053)",30.235811715430245 km
177,1003,243750.0,Charlottesville,"(37.9871831, -78.5074706)","(38.033554, -78.50798)",5.147210024907886 km
178,1012,309400.0,Greenville/Spartanburg,"(34.901119, -82.081609)","(34.8959, -82.2172)",12.406634434716617 km
179,1003,349990.0,Charlottesville,"(38.1014224, -78.4591042)","(38.033554, -78.50798)",8.668606830698964 km
180,1010,376900.0,Columbia,"(33.905958, -81.165443)","(34.0007, -81.0348)",16.008366649698054 km
181,1003,509290.0,Charlottesville,"(37.9995, -78.211)","(38.033554, -78.50798)",26.351125140953243 km
182,1001,539990.0,Maryland,"(38.6317, -76.9751)","(52.2296756, -21.0122287)",4505.408944670754 km
183,1010,282900.0,Columbia,"(34.156478, -80.967833)","(34.0007, -81.0348)",18.35172442623197 km
184,1007,429900.0,Atlanta,"(34.168071, -84.431162)","(33.748783, -84.388168)",46.6775786104929 km
185,1008,687900.0,Charleston,"(32.342205, -80.916079)","(32.776566, -79.930923)",104.30834355178328 km
186,1010,350900.0,Columbia,"(34.127698, -80.833394)","(34.0007, -81.0348)",23.326782457959638 km
187,1008,329900.0,Charleston,"(32.874351, -79.99518)","(32.776566, -79.930923)",12.401815765329939 km
188,1012,455900.0,Greenville/Spartanburg,"(34.802831, -82.175333)","(34.8959, -82.2172)",11.011986650694153 km
189,1010,254900.0,Columbia,"(33.913455, -81.290165)","(34.0007, -81.0348)",25.510494763814688 km
190,1011,350000.0,Charlotte,"(35.023497, -80.863341)","(35.227085, -80.843124)",22.66168394191967 km
191,1010,241400.0,Columbia,"(34.156478, -80.967833)","(34.0007, -81.0348)",18.35172442623197 km
192,1010,258900.0,Columbia,"(33.913455, -81.290165)","(34.0007, -81.0348)",25.510494763814688 km
193,1003,716700.0,Charlottesville,"(37.9996, -78.3869)","(38.033554, -78.50798)",11.280549410493409 km
194,1003,524200.0,Charlottesville,"(37.9995, -78.211)","(38.033554, -78.50798)",26.351125140953243 km
195,1010,397400.0,Columbia,"(33.961442, -81.261359)","(34.0007, -81.0348)",21.3833267708572 km
196,1011,477000.0,Charlotte,"(35.033053, -80.872506)","(35.227085, -80.843124)",21.692419569834193 km
197,1008,299900.0,Charleston,"(32.874351, -79.99518)","(32.776566, -79.930923)",12.401815765329939 km
198,1010,380900.0,Columbia,"(33.961442, -81.261359)","(34.0007, -81.0348)",21.3833267708572 km
199,1013,274900.0,Aiken/Augusta,"(33.54691, -81.783014)","(33.5076, -81.8604)",8.407525802689742 km
200,1012,345400.0,Greenville/Spartanburg,"(34.775746, -82.541708)","(34.8959, -82.2172)",32.53835331220801 km
201,1012,370900.0,Greenville/Spartanburg,"(34.775746, -82.541708)","(34.8959, -82.2172)",32.53835331220801 km
202,1007,417900.0,Atlanta,"(34.1673, -84.4314)","(33.748783, -84.388168)",46.5942491334108 km
203,1004,514990.0,Raleigh,"(35.7945, -78.9401)","(35.884766, -78.625053)",30.17389469080778 km
204,1011,407892.0,Charlotte,"(35.026513, -80.667104)","(35.227085, -80.843124)",27.432706025429354 km
205,1010,424400.0,Columbia,"(34.136391, -80.82782)","(34.0007, -81.0348)",24.322785814008995 km
206,1010,356900.0,Columbia,"(33.961442, -81.261359)","(34.0007, -81.0348)",21.3833267708572 km
207,1010,257400.0,Columbia,"(34.120418, -80.806795)","(34.0007, -81.0348)",24.888064839212156 km
208,1003,435375.0,Charlottesville,"(37.9995, -78.211)","(38.033554, -78.50798)",26.351125140953243 km
209,1010,439400.0,Columbia,"(34.136391, -80.82782)","(34.0007, -81.0348)",24.322785814008995 km
210,1011,427176.5,Charlotte,"(35.026513, -80.667104)","(35.227085, -80.843124)",27.432706025429354 km
211,1010,241400.0,Columbia,"(34.205036, -80.737904)","(34.0007, -81.0348)",35.55634784696825 km
212,1013,447400.0,Aiken/Augusta,"(33.678327, -81.966967)","(33.5076, -81.8604)",21.364188759675947 km
213,1000,621990.0,Northern Virginia,"(38.959184, -77.332334)","(38.8051, -77.047)",30.092703428745136 km
214,1003,383650.0,Charlottesville,"(37.9995, -78.211)","(38.033554, -78.50798)",26.351125140953243 km
215,1010,226400.0,Columbia,"(34.181446, -80.905019)","(34.0007, -81.0348)",23.354081952891427 km
216,1000,615990.0,Northern Virginia,"(38.953935, -77.416642)","(38.8051, -77.047)",36.08046274496378 km
217,1012,285900.0,Greenville/Spartanburg,"(34.725073, -82.222818)","(34.8959, -82.2172)",18.95802368359314 km
218,1013,277900.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
219,1013,294400.0,Aiken/Augusta,"(33.54691, -81.783014)","(33.5076, -81.8604)",8.407525802689742 km
220,1001,490490.0,Maryland,"(39.131003, -76.738244)","(52.2296756, -21.0122287)",4454.984791903209 km
221,1013,239900.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
222,1013,272400.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
223,1012,277400.0,Greenville/Spartanburg,"(34.725073, -82.222818)","(34.8959, -82.2172)",18.95802368359314 km
224,1007,356200.0,Atlanta,"(33.792961, -84.475672)","(33.748783, -84.388168)",9.4717186089566 km
225,1012,373900.0,Greenville/Spartanburg,"(34.775746, -82.541708)","(34.8959, -82.2172)",32.53835331220801 km
226,1010,415900.0,Columbia,"(33.905958, -81.165443)","(34.0007, -81.0348)",16.008366649698054 km
