ZipCode,cluster,avg_cluster_price,avg_cluster_beds,avg_cluster_baths,avg_cluster_sf,avg_cluster_lot_size,avg_cluster_year,avg_cluster_price_persf,avg_cluster_school_rating,Population,HouseholdsPerZipCode,AverageHouseValue,school_rating,IncomePerHousehold,NumberOfBusinesses,over_65_ratio
27018,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27020,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27028,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27030,0.0,560947.61167685,3.17476620573895,4.207569219705142,1957.9639391398107,46597.235441587094,1984.634307164891,281.3252266283295,5.441904866593626,43394.23709117048,16904.86705802484,269539.67892656045,5.441904866593626,66290.58536000959,1208.6658679765185,0.16153120024500284
27040,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27050,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27054,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27055,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27101,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27104,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27105,0.0,560947.61167685,3.17476620573895,4.207569219705142,1957.9639391398107,46597.235441587094,1984.634307164891,281.3252266283295,5.441904866593626,43394.23709117048,16904.86705802484,269539.67892656045,5.441904866593626,66290.58536000959,1208.6658679765185,0.16153120024500284
27106,0.0,560947.61167685,3.17476620573895,4.207569219705142,1957.9639391398107,46597.235441587094,1984.634307164891,281.3252266283295,5.441904866593626,43394.23709117048,16904.86705802484,269539.67892656045,5.441904866593626,66290.58536000959,1208.6658679765185,0.16153120024500284
27127,0.0,560947.61167685,3.17476620573895,4.207569219705142,1957.9639391398107,46597.235441587094,1984.634307164891,281.3252266283295,5.441904866593626,43394.23709117048,16904.86705802484,269539.67892656045,5.441904866593626,66290.58536000959,1208.6658679765185,0.16153120024500284
27203,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27205,0.0,560947.61167685,3.17476620573895,4.207569219705142,1957.9639391398107,46597.235441587094,1984.634307164891,281.3252266283295,5.441904866593626,43394.23709117048,16904.86705802484,269539.67892656045,5.441904866593626,66290.58536000959,1208.6658679765185,0.16153120024500284
27207,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27209,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27215,0.0,560947.61167685,3.17476620573895,4.207569219705142,1957.9639391398107,46597.235441587094,1984.634307164891,281.3252266283295,5.441904866593626,43394.23709117048,16904.86705802484,269539.67892656045,5.441904866593626,66290.58536000959,1208.6658679765185,0.16153120024500284
27217,0.0,560947.61167685,3.17476620573895,4.207569219705142,1957.9639391398107,46597.235441587094,1984.634307164891,281.3252266283295,5.441904866593626,43394.23709117048,16904.86705802484,269539.67892656045,5.441904866593626,66290.58536000959,1208.6658679765185,0.16153120024500284
27229,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27231,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27233,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27239,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27242,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27243,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27244,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27249,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27252,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27253,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27258,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27262,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27265,0.0,560947.61167685,3.17476620573895,4.207569219705142,1957.9639391398107,46597.235441587094,1984.634307164891,281.3252266283295,5.441904866593626,43394.23709117048,16904.86705802484,269539.67892656045,5.441904866593626,66290.58536000959,1208.6658679765185,0.16153120024500284
27278,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27281,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27282,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27283,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27284,0.0,560947.61167685,3.17476620573895,4.207569219705142,1957.9639391398107,46597.235441587094,1984.634307164891,281.3252266283295,5.441904866593626,43394.23709117048,16904.86705802484,269539.67892656045,5.441904866593626,66290.58536000959,1208.6658679765185,0.16153120024500284
27288,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27291,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27292,0.0,560947.61167685,3.17476620573895,4.207569219705142,1957.9639391398107,46597.235441587094,1984.634307164891,281.3252266283295,5.441904866593626,43394.23709117048,16904.86705802484,269539.67892656045,5.441904866593626,66290.58536000959,1208.6658679765185,0.16153120024500284
27295,0.0,560947.61167685,3.17476620573895,4.207569219705142,1957.9639391398107,46597.235441587094,1984.634307164891,281.3252266283295,5.441904866593626,43394.23709117048,16904.86705802484,269539.67892656045,5.441904866593626,66290.58536000959,1208.6658679765185,0.16153120024500284
27298,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27299,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27302,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27306,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27310,2.0,1286756.0848184263,3.120649066756348,2.8305163134880593,2431.6167619367857,193210.62714644175,1990.5011539848676,517.2119199731002,7.216812441731274,15074.763197713517,6470.938971082717,539145.1664425017,6.832908515490953,104859.51723268325,818.3929892400807,0.2188126525926462
27312,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27316,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
