State,zip,PRICE
FL,33462,572709
FL,33463,515744
FL,33467,482274
FL,33469,1700909
FL,33470,871183
FL,33471,975843
FL,33472,1092877
FL,33473,961344
FL,33476,287043
FL,33477,1544557
FL,33478,1212739
FL,33480,2661005
FL,33483,2760914
FL,33484,245970
FL,33486,1345818
FL,33487,1597102
FL,33493,228362
FL,33496,2532787
FL,33498,776335
FL,33510,397550
FL,33511,459208
FL,33513,509772
FL,33514,150000
FL,33521,281950
FL,33523,475542
FL,33525,658197
FL,33527,717506
FL,33534,364466
FL,33538,242670
FL,33540,348689
FL,33541,380076
FL,33542,382116
FL,33543,396888
FL,33544,591937
FL,33545,464956
FL,33547,683018
FL,33548,719533
FL,33549,465498
FL,33556,972561
FL,33558,719896
FL,33559,724576
FL,33563,286072
FL,33565,499023
FL,33566,978042
FL,33567,816112
FL,33569,567099
FL,33570,473843
FL,33572,733175
FL,33573,344007
FL,33576,433409
FL,33578,824859
FL,33579,460108
FL,33584,427981
FL,33585,712450
FL,33592,1763770
FL,33594,398689
FL,33596,542265
FL,33597,517136
FL,33598,470118
FL,33602,1348495
FL,33603,521819
FL,33604,328179
FL,33605,295661
FL,33606,2209544
FL,33607,408912
FL,33609,1532658
FL,33610,335336
FL,33611,856915
FL,33612,361423
FL,33613,787785
FL,33614,353403
FL,33615,501124
FL,33616,469034
FL,33617,334990
FL,33618,561958
FL,33619,363301
FL,33624,483822
FL,33625,879287
FL,33626,522962
FL,33629,2023656
FL,33634,536100
FL,33635,521490
FL,33637,307950
FL,33647,499982
FL,33701,1447822
FL,33702,426946
FL,33703,720267
FL,33704,2187059
FL,33705,600961
FL,33706,1312719
FL,33707,636564
FL,33708,1347454
FL,33709,242585
FL,33710,627432
FL,33711,610179
FL,33712,397367
FL,33713,422338
FL,33714,309237
FL,33715,1184822
FL,33716,240586
FL,33755,611898
FL,33756,442642
FL,33759,524622
FL,33760,371075
FL,33761,495866
FL,33762,488388
FL,33763,216538
FL,33764,403270
FL,33765,359460
FL,33767,1096141
FL,33770,776637
FL,33771,260667
FL,33772,369868
FL,33773,325850
FL,33774,668692
FL,33776,967585
FL,33777,338925
FL,33778,443800
FL,33781,358260
FL,33782,295667
FL,33785,1651034
FL,33786,2212250
FL,33801,292936
FL,33803,380667
FL,33805,270780
FL,33809,475754
FL,33810,374819
FL,33811,438134
FL,33812,417225
FL,33813,526857
FL,33815,545617
FL,33823,460792
FL,33827,328950
FL,33830,325456
FL,33834,255000
FL,33836,378944
FL,33837,421472
FL,33838,373991
FL,33839,426029
FL,33841,263578
FL,33843,415904
FL,33844,401476
FL,33848,149900
FL,33849,667000
FL,33850,457143
FL,33851,294250
FL,33853,235969
FL,33855,295926
FL,33859,422607
FL,33860,268575
FL,33865,590000
FL,33867,154900
FL,33868,601238
FL,33873,721975
FL,33877,160000
FL,33880,309165
FL,33881,332107
FL,33884,454188
FL,33896,433633
FL,33897,347445
FL,33898,681500
FL,33901,704155
FL,33903,468031
FL,33904,850306
FL,33905,670626
FL,33907,348258
FL,33908,842868
FL,33909,413275
FL,33912,736945
FL,33913,1175878
FL,33914,774517
FL,33916,383669
FL,33917,459463
FL,33919,574350
FL,33920,911175
FL,33921,6398750
FL,33922,564050
FL,33924,2645217
FL,33928,871940
FL,33930,480000
FL,33931,1567916
FL,33935,442910
FL,33936,266454
FL,33946,1304938
FL,33947,516190
FL,33948,468398
FL,33950,731262
FL,33952,492970
FL,33953,436717
FL,33954,413557
FL,33955,581579
FL,33956,907100
FL,33957,1569820
FL,33966,408745
FL,33967,391032
FL,33971,311008
FL,33972,341822
FL,33973,673436
FL,33974,326710
FL,33976,321529
FL,33980,438105
FL,33981,567891
FL,33982,695434
FL,33983,456440
FL,33990,505079
FL,33991,627267
FL,33993,528830
FL,34102,3448936
FL,34103,3226878
FL,34104,498326
FL,34105,1395428
FL,34108,2568875
FL,34109,1218397
FL,34110,1758074
FL,34112,593672
FL,34113,805513
FL,34114,761303
FL,34116,503769
FL,34117,803323
FL,34119,1401446
FL,34120,737810
FL,34134,2415600
FL,34135,629431
FL,34138,85000
FL,34139,242450
FL,34140,1244500
FL,34142,375695
FL,34145,1862013
FL,34146,2500000
FL,34201,709043
FL,34202,1346792
FL,34203,444684
FL,34205,359300
FL,34207,423743
FL,34208,738410
FL,34209,1182176
FL,34210,599906
FL,34211,568650
FL,34212,677344
FL,34215,1171720
FL,34216,5078932
FL,34217,2429365
FL,34219,539746
FL,34221,543802
FL,34222,535362
FL,34223,1231668
FL,34224,757808
FL,34228,2253253
FL,34229,1512197
FL,34231,1045638
FL,34232,460086
FL,34233,507569
FL,34234,700706
FL,34235,312218
FL,34236,2625079
FL,34237,453175
FL,34238,701156
FL,34239,1935285
FL,34240,754594
FL,34241,893213
FL,34242,1437055
FL,34243,582339
FL,34251,1216140
FL,34266,403044
FL,34269,548394
FL,34275,987403
FL,34285,746545
FL,34286,507551
FL,34287,388137
FL,34288,373774
FL,34289,355907
FL,34291,367200
FL,34292,536970
FL,34293,534391
FL,34420,313101
FL,34428,514497
FL,34429,635391
FL,34430,749000
FL,34431,277257
FL,34432,688142
FL,34433,259829
FL,34434,281617
FL,34436,439714
FL,34442,491560
FL,34446,335139
FL,34448,757400
FL,34449,806760
FL,34450,695012
FL,34452,325980
FL,34453,716818
FL,34461,568627
FL,34465,320697
FL,34470,238840
FL,34471,600501
FL,34472,315215
FL,34473,281339
FL,34474,326325
FL,34475,855734
FL,34476,361579
FL,34479,419771
FL,34480,625846
FL,34481,301547
FL,34482,1034870
FL,34484,678979
FL,34488,578296
FL,34491,643545
FL,34601,552234
FL,34602,760468
FL,34604,729556
FL,34606,274334
FL,34607,613959
FL,34608,358980
FL,34609,378914
FL,34610,649331
FL,34613,380101
FL,34614,428056
FL,34637,438439
FL,34638,507666
FL,34639,460262
FL,34652,359167
FL,34653,295103
FL,34654,404983
FL,34655,483727
FL,34667,412633
FL,34668,227495
FL,34669,371431
FL,34677,491768
FL,34681,1641980
FL,34683,497680
